time,open,high,low,close
1690378200,69.44,69.81,66.39,68.58
1690464600,70.17,70.17,56.44,57.14
1690551000,64.13,65.17,62.34,64.21
1690810200,68.12,69.32,67.76,69.29
1690896600,65.96,65.96,62.33,64.84
1690983000,54.93,54.93,49.87,52.23
1691069400,45.93,51.02,45.84,48.68
1691155800,48.19,53.33,46.09,46.09
1691415000,47.37,47.76,44.12,47.52
1691501400,37.97,42.95,37.26,42.92
1691587800,42.14,42.61,38.72,39.7
1691674200,43.03,45.59,37.53,38.4
1691760600,35.69,38.77,35.69,38.51
1692019800,31.97,35.5,31.45,34.52
1692106200,30.15,30.27,27.84,28.14
1692192600,29.74,29.74,23.53,23.58
1692279000,25.6,25.6,19.81,19.81
1692365400,18.56,22.79,18.56,22.3
1692624600,21.94,22.7,19.82,21.9
1692711000,23.69,23.69,20.47,20.49
1692797400,22.31,27.68,22.31,26.83
1692883800,29.43,29.43,21.13,21.18
1692970200,23.55,26.93,19.04,24.56
1693229400,32.92,35.12,31.32,32.3
1693315800,35.51,45.94,35.51,45.77
1693402200,48.38,52.75,48.25,50.69
1693488600,53.31,54.68,47.74,47.8
1693575000,59.38,59.76,55.93,56.1
1693920600,47.95,47.95,41.24,41.27
1694007000,44.11,44.11,35.37,37.72
1694093400,34.32,35.28,31.84,34.28
1694179800,34.5,37.39,34.12,35.11
1694439000,42.5,42.5,37.9,37.94
1694525400,41.61,43.1,38.82,39.03
1694611800,38.97,39.11,35.22,35.46
1694698200,43.47,47.92,42.11,47.91
1694784600,46.22,46.22,39.54,41.4
1695043800,37.35,39.98,36.54,36.54
1695130200,37.84,37.84,32.55,33.96
1695216600,39.59,41.21,30.68,30.68
