time,open,high,low,close,EMA,EMA
1700663400,45.01,45.01,43.59,44.02,37.447564352765845,40.84923462273999
1700836200,45.31,45.94,45.28,45.76,37.77354222128483,41.74210105496908
1701095400,44.5,45.5,44.5,44.83,38.050266055744245,42.30353722679288
1701181800,44.72,45.91,44.67,44.8,38.31496150453859,42.757439549194174
1701268200,48.31,48.31,46.25,46.34,38.629668896517465,43.40881417661342
1701354600,46.65,47.5,46.56,47.07,38.960662273124626,44.07448432632007
1701441000,48.45,52.47,48.45,52.47,39.49044022319817,45.6009417215346
1701700200,53.44,54.01,52.87,54,40.059442567386476,47.12804322671013
1701786600,52.99,53.46,51.4,51.42,40.5049546235674,47.908399003671924
1701873000,54.01,54.88,51.18,51.18,40.92358385401574,48.503235548458846
1701959400,51.95,52.65,51.95,52.51,41.37795311464257,49.23173817601178
1702045800,51.95,54.08,51.95,53.4,41.849405933676195,49.98960396219146
1702305000,54.09,54.13,53.56,54.01,42.326291975492815,50.72058505997483
1702391400,53.62,54.35,53.31,53.31,42.7570256235127,51.19138777634304
1702477800,54.05,59.13,53.37,59.13,43.39910305004162,52.634771817007945
1702564200,64.32,64.32,62.54,62.97,44.16658920494194,54.51390421391559
1702650600,63.15,63.15,60.93,61.32,44.83927198121873,55.751376175021846
1702909800,62.34,62.35,61.55,61.57,45.49537896234741,56.809307779563326
1702996200,64.15,64.54,63.85,64.53,46.241834689314175,58.213070001460906
1703082600,64.77,65.82,61.79,61.98,46.8590176426744,58.89796636483165
1703169000,63.9,64,62.88,63.96,47.52964440178521,59.81833611668044
1703255400,66.64,66.64,64.98,65.37,48.2292661899505,60.82772955001127
1703601000,66.01,67.44,65.67,67.22,48.97400084916813,61.98996054091831
1703687400,67.78,67.87,66.96,67.11,49.68521650214193,62.92087680620589
1703773800,67.67,68.04,66.98,67.26,50.37442369813636,63.70980829598664
1703860200,67.36,67.36,65.57,65.8,50.97934825899376,64.08984315126179
1704205800,66.18,67.13,65.07,65.82,51.56133460177832,64.40441712375964
1704292200,64.54,64.54,61.93,62.22,51.97932148013995,64.00725037398516
1704378600,63.14,63.43,62.27,62.43,52.38915201033054,63.720477578715126
1704465000,63.45,63.46,62.01,62.22,52.77467546090581,63.447663473494195
1704724200,61.78,64.53,61.78,64.51,53.23488426636049,63.640815569222525
1704810600,63.03,63.28,62.62,62.64,53.603712334346355,63.45884910209116
1704897000,63.2,63.2,62.27,62.81,53.96474322319552,63.34087653807458
1704983400,62.61,62.61,60.72,62.22,54.288478783070204,63.1370808038792
1705069800,64.66,64.66,61.73,62.08,54.59402863471451,62.94488429408298
1705415400,59.36,60.36,58.66,59.15,54.7726941784512,62.25490533152244
1705501800,57.41,58.22,56.27,57.28,54.87101989694331,61.35037708942745
1705588200,57.41,57.91,56.13,57.84,54.987450489220045,60.712126709531546
1705674600,58.14,59.62,57.48,59.55,55.16637399944671,60.500830944162175
1705933800,61.13,62.04,60.77,61.8,55.42651619554684,60.73704349976905
1706020200,63.4,63.4,61.1,61.51,55.665084187878335,60.877581045265586
1706106600,62.84,62.84,60.37,60.49,55.85429657266742,60.80711176430821
1706193000,62.64,62.64,60.79,61.88,56.09059866785694,61.00218235261581
1706279400,63.83,63.83,61.82,62.16,56.32861440637235,61.21269465214021
1706538600,61.6,63.97,61.6,63.96,56.62788442965187,61.71220471538744
1706625000,63.25,63.51,62.39,62.43,56.85541837358709,61.84271294895336
1706711400,62.81,63,59.01,59.02,56.94030392756407,61.32949241278003
1706797800,60.98,61.32,57.84,61.3,57.111272400992924,61.32413015591093
1706884200,58.78,60.53,58.75,59.47,57.203771522522615,60.98701558210894
1707143400,57.86,58.24,56.52,57.09,57.199309894188396,60.27846729445277
1707229800,58.71,59.09,58.55,58.83,57.26325852578885,60.015109604552265
1707316200,57.56,58.06,57.22,57.45,57.27058172085595,59.54872604008822
1707402600,57.5,58.96,57.5,58.88,57.333696163175325,59.42713948734491
1707489000,59.24,60.44,58.28,60.28,57.449237490109624,59.58220503510038
1707748200,62.46,64.02,62.24,63.31,57.67907131402689,60.259985937809404
1707834600,58.11,58.59,55.4,56.22,57.621852831123874,59.52544304002588
1707921000,58.93,59.49,57.74,58.72,57.66491742598176,59.378998850930266
1708007400,61.85,62.86,60.84,62.85,57.86825399751189,60.01008996894294
1708093800,61.79,62.51,61.12,61.12,57.99577344858986,60.211891792771496
1708439400,59.69,60.43,59.01,59.1,58.03907645060594,60.00972964863122
1708525800,59.64,59.64,58.07,58.72,58.0657793348959,59.77523334888009
1708612200,59.95,59.95,58.94,59.19,58.109866419801946,59.66882728544735
1708698600,59.31,60.42,59.3,59.78,58.17536185431952,59.689040506275106
1708957800,60.24,60.73,58.62,59.17,58.21436727179719,59.59466950513418
1709044200,61.38,61.38,60.35,60.51,58.30439208466789,59.76109323147342
1709130600,59.95,60.27,58.76,58.8,58.323827689190715,59.58634900756916
1709217000,61.83,61.84,59.62,60.07,58.39230503471265,59.67428555164749
