time,open,high,low,close,EMA,EMA,Plot,Plot,Plot,Shapes,Shapes
1707143400,493.695,494.3778,490.23,492.55,483.6920571529601,488.1855084332267,-25,,,0,1
1707229800,493.52,494.32,492.05,493.98,484.6718612336306,489.2390523544582,22,,,0,0
1707316200,496.29,498.53,495.36,498.1,485.95073159233243,490.8501337445567,53,,,1,0
1707402600,498.1,498.71,497.26,498.32,487.12875715496745,492.2082912455464,76,,,1,0
1707489000,498.84,501.65,498.49,501.2,488.468875521161,493.84314738271974,121,,,1,0
1707748200,501.17,503.5,500.24,500.98,489.66041118581234,495.140756949498,146,,,1,0
1707834600,494.53,497.09,490.715,494.08,490.08132440621114,494.94789204958926,-29,,,0,1
1707921000,496.79,499.07,494.4,498.57,490.8897697008577,495.6064571314821,41,,,0,0
1708007400,499.29,502.2,498.795,502.01,491.94883925315696,496.77073765303084,104,,,1,0
1708093800,501.7,502.87,498.75,499.51,492.66894980047533,497.26878535247977,96,,,1,0
1708439400,497.72,498.41,494.45,496.76,493.0585736290015,497.17627892475616,21,,,0,0
1708525800,495.42,497.37,493.56,497.21,493.4539475690966,497.18241002934593,-1,,,0,0
1708612200,504.01,508.49,503.02,507.5,494.79166684823025,499.05833547855576,44,,,0,0
1708698600,509.27,510.13,507.1,507.85,496.03531762458925,500.6568199370002,43,,,0,1
1708957800,508.3,508.75,505.86,505.99,496.98338261272363,501.6264890393638,84,,,1,0
1709044200,506.7,507.16,504.75,506.93,497.9306795067499,502.59076375947944,109,,,1,0
1709130600,505.33,506.855,504.96,506.26,498.7239481251547,503.25789762139226,62,,,1,0
1709217000,508.07,509.74,505.35,508.08,499.6150006846638,504.13464350841184,87,,,1,0
1709303400,508.98,513.29,508.56,512.85,500.8754768099339,505.7192537796097,110,,,1,0
1709562600,512.03,514.2,512,512.3,501.96352663755926,506.9157530924079,110,,,1,1
1709649000,510.24,510.7,504.91,507.18,502.46033362445837,506.96379798469735,22,,,0,1
1709735400,510.55,512.069,508.42,509.75,503.1545875649862,507.4703801692978,40,,,0,1
1709821800,513.14,515.89,509.8053,514.81,504.26462684451127,508.80485650215275,68,,,1,0
1709908200,515.46,518.2201,511.13,511.72,504.97466238312927,509.33488259267045,85,,,1,0
1710163800,510.48,511.88,508.5,511.28,505.57517072759316,509.688540303094,18,,,0,0
1710250200,513.45,517.38,510.86,516.78,506.6422973249652,510.9778966116223,-7,,,0,0
1710336600,517.11,517.29,514.49,515.97,507.5306499606828,511.88555177314555,35,,,0,0
1710423000,516.97,517.125,511.82,514.95,508.2372547263321,512.4427241780281,-40,,,0,1
1710509400,510.21,511.7,508.122,509.83,508.3889447523957,511.9676834183866,-22,,,0,1
1710768600,514,515.48,512.44,512.86,508.8147595378818,512.1299227968618,-6,,,0,1
1710855000,512.15,515.995,511.12,515.71,509.47144910570256,512.7808459247051,-2,,,0,0
1710941400,515.77,520.62,515.08,520.48,510.5198825242071,514.1806921202133,29,,,0,0
1711027800,523.39,524.11,521.91,522.2,511.6322746647588,515.6387480983564,109,,,1,0
1711114200,522.11,522.605,520.97,521.21,512.5444389824008,516.6517029895643,37,,,0,0
1711373400,519.8,520.95,519.61,519.77,513.2325876507437,517.2186660823709,26,,,0,1
1711459800,521.23,521.58,518.4,518.81,513.7637697792443,517.5079995219398,14,,,0,1
1711546200,521.71,523.21,519.485,523.17,514.6596012288401,518.5374541543144,66,,,0,0
1711632600,523.21,524.61,522.78,523.07,515.4605915879981,519.3615533989846,105,,,1,0
1711978200,523.83,524.38,520.97,522.16,516.0986304843792,519.8703618718965,53,,,0,0
1712064600,518.24,518.98,516.48,518.84,516.3597132953907,519.6830233497335,-16,,,0,1
1712151000,517.72,520.95,517.665,519.41,516.6502167910678,519.633382740691,10,,,0,1
1712237400,523.52,523.8674,512.755,513.07,516.309243763347,518.4400404242017,51,,,0,0
1712323800,514.46,520.44,514.01,518.43,516.5112205477901,518.4382148925287,-10,,,0,1
1712583000,519.15,520.18,517.89,518.72,516.7215804956196,518.4894485484325,31,,,0,0
1712669400,520.5,520.75,514.35,519.32,516.9690490198464,518.6404579032629,13,,,0,0
1712755800,513.48,516.16,512.09,514.12,516.6977110179562,517.8185564663061,-80,,,0,1
1712842200,515.68,519.48,512.08,518,516.8217385400555,517.851546199705,-31,,,0,1
1712928600,514.37,515.815,509.08,510.85,516.2530015362407,516.5785377997587,-87,,,0,1
1713187800,515.13,515.3,503.58,504.45,515.1289061518369,514.3733491088934,-138,,,0,1
1713274200,504.94,506.5,502.21,503.53,514.0242484230905,512.4018310890946,-161,,,0,1
1713360600,506.05,506.22,499.12,500.55,512.7409866685105,510.2469527092592,-110,,,0,1
1713447000,501.98,504.13,498.56,499.52,511.48184508103327,508.29659767121206,-117,,,0,1
1713533400,499.44,500.455,493.86,495.16,509.9273836447444,505.9081253673553,-93,,,0,1
1713792600,497.83,502.38,495.43,499.72,508.95525186905445,504.7830116641998,-54,,,0,1
1713879000,501.78,506.09,499.5328,505.65,508.64046597676355,504.94064590707256,10,,,0,0
1713965400,506.56,507.37,503.13,505.41,508.3328025504051,505.02598301487757,-14,,,0,0
1714051800,499.18,504.27,497.49,503.49,507.8715832598904,504.7467133758089,-84,,,0,1
1714138200,506.35,509.88,505.7,508.26,507.908575330377,505.3854927620255,-6,,,0,0
1714397400,510.09,510.75,507.25,510.06,508.11347291796017,506.23540316892996,19,,,0,0
1714483800,508.56,509.56,501.98,501.98,507.5293326400592,505.4616935018518,-30,,,0,1
1714570200,501.38,508.19,499.865,500.35,506.84558667433924,504.5322946833333,-8,,,0,1
1714656600,504.15,505.89,499.55,505.03,506.6726736577355,504.62278655909086,10,,,0,0
1714743000,511.16,512.55,508.56,511.29,507.1124190236655,505.8350071847107,66,,,0,0
1715002200,513.75,516.61,513.3,516.57,508.0131410214116,507.7868240602179,73,,,0,0
1715088600,517.56,518.57,516.45,517.14,508.88236568603907,509.4874015038146,73,,,0,0
1715175000,515.26,517.74,515.14,517.19,509.6735689540354,510.8878739576665,18,,,0,0
1715261400,517.38,520.2074,516.705,520.17,510.673229053651,512.5755332380908,52,,,0,0
1715347800,521.81,522.635,519.59,520.84,511.6414929533033,514.078163558438,52,,,0,0
1715607000,522.56,522.67,519.74,520.91,512.5242079101316,515.3203156387219,57,,,0,0
1715693400,521.11,523.83,520.56,523.3,513.5504738234524,516.7711673407724,60,,,0,0
1715779800,525.83,530.08,525.18,529.78,515.0961429831236,519.1364096424502,86,,,1,0
1715866200,529.88,531.5218,528.54,528.69,516.39079603235,520.8734260710957,55,,,0,0
1715952600,528.81,529.52,527.32,529.45,517.6345297435547,522.4328031490783,35,,,0,0
1716211800,529.57,531.5601,529.17,530.06,518.8179078632162,523.8195662128823,53,,,1,0
1716298200,529.28,531.52,529.07,531.36,520.0123928286242,525.1905541741764,26,,,0,0
1716384600,530.65,531.38,527.6,529.83,520.9474030354219,526.0340897788716,26,,,0,0
1716471000,532.96,533.07,524.72,525.96,521.4247932225245,526.0206189099858,-16,,,0,1
1716557400,527.85,530.27,526.881,529.44,522.1881462489507,526.6423245627157,11,,,0,0
1716903000,530.27,530.51,527.11,529.81,522.914037082384,527.2182655513128,27,,,0,0
1716989400,525.68,527.31,525.37,526.1,523.2174621221569,527.0149445419833,-38,,,0,1
1717075800,524.52,525.2,521.33,522.61,523.1596085867134,526.2140455343499,12,,,0,0
1717162200,523.59,527.5,518.36,527.37,523.5605982451216,526.424219073559,6,,,0,0
1717421400,529.02,529.31,522.6,527.8,523.9643507932052,526.6743610601847,25,,,0,0
1717507800,526.46,529.15,524.96,528.39,524.3858411938523,526.9862954128783,-27,,,0,1
1717594200,530.77,534.69,528.7254,534.67,525.3652848896759,528.3833326105369,8,,,0,0
1717680600,534.98,535.42,532.68,534.66,526.2504958525639,529.5245448631665,14,,,0,0
1717767000,533.66,536.89,532.535,534.01,526.9894962475578,530.3400821607726,-31,,,0,1
1718026200,533.18,535.99,532.57,535.66,527.8152585096951,531.307339949723,-51,,,0,1
1718112600,534.07,537.01,532.05,536.95,528.6852338897241,532.3332781406824,-24,,,0,1
1718199000,541.63,544.12,540.3,541.36,529.8923544716552,533.974500296922,57,,,0,0
1718285400,543.15,543.325,539.59,542.45,531.0883207124499,535.5155002429361,-33,,,0,1
1718371800,540.88,542.81,539.85,542.78,532.2018139779309,536.8363183805841,-89,,,0,1
1718631000,542.08,548.53,541.6072,547.1,533.6206888371755,538.702442311387,-53,,,0,1
1718717400,547.16,548.62,546.73,548.49,535.0368137098254,540.4819982547712,-32,,,0,1
1718890200,549.44,550.12,545.18,547,536.1761647850801,541.6670894811764,-64,,,0,1
1718976600,544.4,545.65,543.02,544.51,536.9698633769773,542.1839823027807,-57,,,0,1
1719235800,544.33,546.95,542.62,542.74,537.5194001982176,542.2850764295479,-23,,,0,1
1719322200,543.99,545.2,542.44,544.83,538.2156477983873,542.7477898059938,-61,,,0,1
1719408600,543.69,546.24,543.03,545.51,538.9103480080647,543.2500098412676,-58,,,0,1
1719495000,545.37,546.96,544.61,546.37,539.6207910549157,543.8172807792189,-23,,,0,1
1719581400,547.16,550.28,542.95,544.22,540.0588109544475,543.8905024557246,3,,,0,0
1719840600,545.63,545.88,542.52,545.34,540.5617813397382,544.1540474637746,-28,,,0,1
